소분류,세부분류,업체명,주소,전화번호,사업자등록일,업데이트일,정제주소
일반음식점,일식,스엔스시,"인천광역시 연수구 용담로 44, 지상1층 일부호 (청학동) ", ,2025-07-02,2025-07-04 04:11:09,인천광역시 연수구 용담로 44 지상1층 (청학동)
일반음식점,"외국음식전문점(인도,태국등)",포슈아쌀국수,"인천광역시 연수구 해돋이로 107, D동 지상1층 상가2호 (송도동, 송도 더샵 퍼스트월드) ", ,2025-07-02,2025-07-04 04:11:09,인천광역시 연수구 해돋이로 107 D동 지상1층 상가2호 (송도동 송도 더샵 퍼스트월드)
일반음식점,한식,모이또,"인천광역시 강화군 강화읍 동문안길 7, 2층 ", ,2025-07-02,2025-07-04 04:11:08,인천광역시 강화군 강화읍 동문안길 7/2층
일반음식점,기타,로스터리락온,"인천광역시 부평구 장제로 137, 1층 일부 (부평동) ", ,2025-07-02,2025-07-04 04:10:58,인천광역시 부평구 장제로 137/1층 (부평동)
일반음식점,중국식,정상 딜리버리,"인천광역시 강화군 강화읍 갑룡길 110, 1호 ", ,2025-07-02,2025-07-04 04:10:57,인천광역시 강화군 강화읍 갑룡길 110/1호
일반음식점,일식,어썰당 검로푸점,"인천광역시 서구 한들로 73, 6동 103,104호 (백석동, 검암역로열파크씨티푸르지오2단지) ", ,2025-07-01,2025-07-04 04:12:04,인천광역시 서구 한들로 73/6동 103/104호 (백석동 검암역로열파크씨티푸르지오2단지)
일반음식점,기타,런던베이글뮤지엄 인천(LONDON BAGEL MUSEUM),"인천광역시 미추홀구 연남로 35, 롯데백화점 지하 1층 일부호 (관교동) ", ,2025-07-01,2025-07-03 04:11:54,인천광역시 미추홀구 연남로 35 롯데백화점 지하 1층 (관교동)
일반음식점,기타,런던베이글뮤지엄 인천,"인천광역시 미추홀구 연남로 35, 롯데백화점 지하 1층 일부호 (관교동) ", ,2025-07-01,2025-07-03 04:11:54,인천광역시 미추홀구 연남로 35 롯데백화점 지하 1층 (관교동)
일반음식점,한식,행복국밥,"인천광역시 미추홀구 소성로 99, 1층 3호 (학익동) ", ,2025-07-01,2025-07-03 04:11:54,인천광역시 미추홀구 소성로 99/1층 3호 (학익동)
일반음식점,호프/통닭,서교동닭강정 청천점,"인천광역시 부평구 마장로 427, 1층 일부 (청천동) ", ,2025-07-01,2025-07-03 04:11:38,인천광역시 부평구 마장로 427/1층 (청천동)
일반음식점,뷔페식,만나한식부페,"인천광역시 부평구 부평문화로 190, 지하1층 일부 (부개동) ", ,2025-07-01,2025-07-03 04:11:38,인천광역시 부평구 부평문화로 190 지하1층 (부개동)
일반음식점,기타,카페게이트인천효성점,"인천광역시 계양구 길마로 27-1, 1층 (효성동) ", ,2025-07-01,2025-07-03 04:11:32,인천광역시 계양구 길마로 27-1/1층 (효성동)
일반음식점,기타,떡찾사,"인천광역시 남동구 예술로 198, CGV 홈플러스 2층 257호 (구월동) ", ,2025-07-01,2025-07-03 04:11:32,인천광역시 남동구 예술로 198 CGV 홈플러스 2층 257호 (구월동)
일반음식점,기타,수양2호,"인천광역시 중구 축항대로 150, 수양2호 (항동7가) ", ,2025-07-01,2025-07-03 04:11:28,인천광역시 중구 축항대로 150 수양2호 (항동7가)
일반음식점,호프/통닭,엠케이펍,"인천광역시 중구 참외전로 246, 인천전용축구경기장 가동 2층 (도원동) ", ,2025-07-01,2025-07-03 04:11:28,인천광역시 중구 참외전로 246 인천전용축구경기장 가동 2층 (도원동)
일반음식점,"외국음식전문점(인도,태국등)",안-누르할랄 레스토랑&아시아마트,"인천광역시 서구 보듬로 158, 블루텍 1층 미플존109호 (오류동) ", ,2025-07-01,2025-07-03 04:11:18,인천광역시 서구 보듬로 158 블루텍 1층 미플존109호 (오류동)
일반음식점,식육(숯불구이),장성가든 검단본점,"인천광역시 서구 목지로 3, 1층 (불로동) ", ,2025-07-01,2025-07-03 04:11:18,인천광역시 서구 목지로 3/1층 (불로동)
일반음식점,한식,구름산추어탕 아라점,"인천광역시 서구 서로4로 90, 204,205호 (원당동) ", ,2025-07-01,2025-07-03 04:11:18,인천광역시 서구 서로4로 90/204/205호 (원당동)
일반음식점,경양식,카페 라리사,"인천광역시 연수구 하모니로 158, 송도타임스페이스 지상2층 A-216호 (송도동) ", ,2025-07-01,2025-07-03 04:11:03,인천광역시 연수구 하모니로 158 송도타임스페이스 지상2층 A-216호 (송도동)
일반음식점,기타,온수닭꼬치,"인천광역시 강화군 길상면 강화동로 8-1, 주2동 101호 ", ,2025-07-01,2025-07-03 04:10:56,인천광역시 강화군 길상면 강화동로 8-1 주2동 101호
일반음식점,한식,순자식당,"인천광역시 중구 월미로 42, 1층 (북성동1가) ", ,2025-06-30,2025-07-02 04:11:51,인천광역시 중구 월미로 42/1층 (북성동1가)
일반음식점,한식,우이락 영종운서점,"인천광역시 중구 영종대로196번길 15-30, 1층 107,108호 (운서동) ", ,2025-06-30,2025-07-02 04:11:50,인천광역시 중구 영종대로196번길 15-30/1층 107/108호 (운서동)
일반음식점,호프/통닭,노랑통닭 영종하늘도시점,"인천광역시 중구 오작로 102-1, 1층 101호 (중산동) ",032-751-8777 ,2025-06-30,2025-07-02 04:11:50,인천광역시 중구 오작로 102-1/1층 101호 (중산동)
